VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Meč+0
11	Meč+1
12	Meč+2
13	Meč+3
14	Meč+4
15	Meč+5
16	Meč+6
17	Meč+7
18	Meč+8
19	Meč+9
20	Dlouhý meč+0
21	Dlouhý meč+1
22	Dlouhý meč+2
23	Dlouhý meč+3
24	Dlouhý meč+4
25	Dlouhý meč+5
26	Dlouhý meč+6
27	Dlouhý meč+7
28	Dlouhý meč+8
29	Dlouhý meč+9
30	Srpovitý meč+0
31	Srpovitý meč+1
32	Srpovitý meč+2
33	Srpovitý meč+3
34	Srpovitý meč+4
35	Srpovitý meč+5
36	Srpovitý meč+6
37	Srpovitý meč+7
38	Srpovitý meč+8
39	Srpovitý meč+9
40	Bambusový meč+0
41	Bambusový meč+1
42	Bambusový meč+2
43	Bambusový meč+3
44	Bambusový meč+4
45	Bambusový meč+5
46	Bambusový meč+6
47	Bambusový meč+7
48	Bambusový meč+8
49	Bambusový meč+9
50	Široký meč+0
51	Široký meč+1
52	Široký meč+2
53	Široký meč+3
54	Široký meč+4
55	Široký meč+5
56	Široký meč+6
57	Široký meč+7
58	Široký meč+8
59	Široký meč+9
60	Stříbrný meč+0
61	Stříbrný meč+1
62	Stříbrný meč+2
63	Stříbrný meč+3
64	Stříbrný meč+4
65	Stříbrný meč+5
66	Stříbrný meč+6
67	Stříbrný meč+7
68	Stříbrný meč+8
69	Stříbrný meč+9
70	Orchideomeč+0
71	Orchideomeč+1
72	Orchideomeč+2
73	Orchideomeč+3
74	Orchideomeč+4
75	Orchideomeč+5
76	Orchideomeč+6
77	Orchideomeč+7
78	Orchideomeč+8
79	Orchideomeč+9
80	Jedenapůlruční meč+0
81	Jedenapůlruční meč+1
82	Jedenapůlruční meč+2
83	Jedenapůlruční meč+3
84	Jedenapůlruční meč+4
85	Jedenapůlruční meč+5
86	Jedenapůlruční meč+6
87	Jedenapůlruční meč+7
88	Jedenapůlruční meč+8
89	Jedenapůlruční meč+9
90	Barbarský meč+0
91	Barbarský meč+1
92	Barbarský meč+2
93	Barbarský meč+3
94	Barbarský meč+4
95	Barbarský meč+5
96	Barbarský meč+6
97	Barbarský meč+7
98	Barbarský meč+8
99	Barbarský meč+9
100	Krvavý meč+0
101	Krvavý meč+1
102	Krvavý meč+2
103	Krvavý meč+3
104	Krvavý meč+4
105	Krvavý meč+5
106	Krvavý meč+6
107	Krvavý meč+7
108	Krvavý meč+8
109	Krvavý meč+9
110	Velký meč+0
111	Velký meč+1
112	Velký meč+2
113	Velký meč+3
114	Velký meč+4
115	Velký meč+5
116	Velký meč+6
117	Velký meč+7
118	Velký meč+8
119	Velký meč+9
120	Meč kouzelníka+0
121	Meč kouzelníka+1
122	Meč kouzelníka+2
123	Meč kouzelníka+3
124	Meč kouzelníka+4
125	Meč kouzelníka+5
126	Meč kouzelníka+6
127	Meč kouzelníka+7
128	Meč kouzelníka+8
129	Meč kouzelníka+9
130	Půlměsíční meč+0
131	Půlměsíční meč+1
132	Půlměsíční meč+2
133	Půlměsíční meč+3
134	Půlměsíční meč+4
135	Půlměsíční meč+5
136	Půlměsíční meč+6
137	Půlměsíční meč+7
138	Půlměsíční meč+8
139	Půlměsíční meč+9
140	Bitevní meč+0
141	Bitevní meč+1
142	Bitevní meč+2
143	Bitevní meč+3
144	Bitevní meč+4
145	Bitevní meč+5
146	Bitevní meč+6
147	Bitevní meč+7
148	Bitevní meč+8
149	Bitevní meč+9
150	Ozubená čepel ducha+0
151	Ozubená čepel ducha+1
152	Ozubená čepel ducha+2
153	Ozubená čepel ducha+3
154	Ozubená čepel ducha+4
155	Ozubená čepel ducha+5
156	Ozubená čepel ducha+6
157	Ozubená čepel ducha+7
158	Ozubená čepel ducha+8
159	Ozubená čepel ducha+9
160	Meč víly+0
161	Meč víly+1
162	Meč víly+2
163	Meč víly+3
164	Meč víly+4
165	Meč víly+5
166	Meč víly+6
167	Meč víly+7
168	Meč víly+8
169	Meč víly+9
170	Bodák+0
171	Bodák+1
172	Bodák+2
173	Bodák+3
174	Bodák+4
175	Bodák+5
176	Bodák+6
177	Bodák+7
178	Bodák+8
179	Bodák+9
180	Jedovatý meč+0
181	Jedovatý meč+1
182	Jedovatý meč+2
183	Jedovatý meč+3
184	Jedovatý meč+4
185	Jedovatý meč+5
186	Jedovatý meč+6
187	Jedovatý meč+7
188	Jedovatý meč+8
189	Jedovatý meč+9
190	Lví meč+0
191	Lví meč+1
192	Lví meč+2
193	Lví meč+3
194	Lví meč+4
195	Lví meč+5
196	Lví meč+6
197	Lví meč+7
198	Lví meč+8
199	Lví meč+9
200	Řezná čepel+0
201	Řezná čepel+1
202	Řezná čepel+2
203	Řezná čepel+3
204	Řezná čepel+4
205	Řezná čepel+5
206	Řezná čepel+6
207	Řezná čepel+7
208	Řezná čepel+8
209	Řezná čepel+9
210	Smrtící čepel+0
211	Smrtící čepel+1
212	Smrtící čepel+2
213	Smrtící čepel+3
214	Smrtící čepel+4
215	Smrtící čepel+5
216	Smrtící čepel+6
217	Smrtící čepel+7
218	Smrtící čepel+8
219	Smrtící čepel+9
220	Měsíční meč+0
221	Měsíční meč+1
222	Měsíční meč+2
223	Měsíční meč+3
224	Měsíční meč+4
225	Měsíční meč+5
226	Měsíční meč+6
227	Měsíční meč+7
228	Měsíční meč+8
229	Měsíční meč+9
230	Nebeský meč+0
231	Nebeský meč+1
232	Nebeský meč+2
233	Nebeský meč+3
234	Nebeský meč+4
235	Nebeský meč+5
236	Nebeský meč+6
237	Nebeský meč+7
238	Nebeský meč+8
239	Nebeský meč+9
240	Meč exorcismu+0
241	Meč exorcismu+1
242	Meč exorcismu+2
243	Meč exorcismu+3
244	Meč exorcismu+4
245	Meč exorcismu+5
246	Meč exorcismu+6
247	Meč exorcismu+7
248	Meč exorcismu+8
249	Meč exorcismu+9
250	Čepel démonů+0
251	Čepel démonů+1
252	Čepel démonů+2
253	Čepel démonů+3
254	Čepel démonů+4
255	Čepel démonů+5
256	Čepel démonů+6
257	Čepel démonů+7
258	Čepel démonů+8
259	Čepel démonů+9
260	Meč barona+0
261	Meč barona+1
262	Meč barona+2
263	Meč barona+3
264	Meč barona+4
265	Meč barona+5
266	Meč barona+6
267	Meč barona+7
268	Meč barona+8
269	Meč barona+9
270	Tritonův meč+0
271	Tritonův meč+1
272	Tritonův meč+2
273	Tritonův meč+3
274	Tritonův meč+4
275	Tritonův meč+5
276	Tritonův meč+6
277	Tritonův meč+7
278	Tritonův meč+8
279	Tritonův meč+9
280	Svatý meč+0
281	Svatý meč+1
282	Svatý meč+2
283	Svatý meč+3
284	Svatý meč+4
285	Svatý meč+5
286	Svatý meč+6
287	Svatý meč+7
288	Svatý meč+8
289	Svatý meč+9
290	Úplňkový meč+0
291	Úplňkový meč+1
292	Úplňkový meč+2
293	Úplňkový meč+3
294	Úplňkový meč+4
295	Úplňkový meč+5
296	Úplňkový meč+6
297	Úplňkový meč+7
298	Úplňkový meč+8
299	Úplňkový meč+9
460	Runový meč +0
461	Runový meč +1
462	Runový meč +2
463	Runový meč +3
464	Runový meč +4
465	Runový meč +5
466	Runový meč +6
467	Runový meč +7
468	Runový meč +8
469	Runový meč +9
470	Ozubený dračí meč +0
471	Ozubený dračí meč +1
472	Ozubený dračí meč +2
473	Ozubený dračí meč +3
474	Ozubený dračí meč +4
475	Ozubený dračí meč +5
476	Ozubený dračí meč +6
477	Ozubený dračí meč +7
478	Ozubený dračí meč +8
479	Ozubený dračí meč +9
1000	Dýka+0
1001	Dýka+1
1002	Dýka+2
1003	Dýka+3
1004	Dýka+4
1005	Dýka+5
1006	Dýka+6
1007	Dýka+7
1008	Dýka+8
1009	Dýka+9
1010	Kobří dýka+0
1011	Kobří dýka+1
1012	Kobří dýka+2
1013	Kobří dýka+3
1014	Kobří dýka+4
1015	Kobří dýka+5
1016	Kobří dýka+6
1017	Kobří dýka+7
1018	Kobří dýka+8
1019	Kobří dýka+9
1020	Nůžková dýka+0
1021	Nůžková dýka+1
1022	Nůžková dýka+2
1023	Nůžková dýka+3
1024	Nůžková dýka+4
1025	Nůžková dýka+5
1026	Nůžková dýka+6
1027	Nůžková dýka+7
1028	Nůžková dýka+8
1029	Nůžková dýka+9
1030	Nůž štěstí+0
1031	Nůž štěstí+1
1032	Nůž štěstí+2
1033	Nůž štěstí+3
1034	Nůž štěstí+4
1035	Nůž štěstí+5
1036	Nůž štěstí+6
1037	Nůž štěstí+7
1038	Nůž štěstí+8
1039	Nůž štěstí+9
1040	Nůž kočičího skusu+0
1041	Nůž kočičího skusu+1
1042	Nůž kočičího skusu+2
1043	Nůž kočičího skusu+3
1044	Nůž kočičího skusu+4
1045	Nůž kočičího skusu+5
1046	Nůž kočičího skusu+6
1047	Nůž kočičího skusu+7
1048	Nůž kočičího skusu+8
1049	Nůž kočičího skusu+9
1050	Dýka d'ábelské tváře+0
1051	Dýka d'ábelské tváře+1
1052	Dýka d'ábelské tváře+2
1053	Dýka d'ábelské tváře+3
1054	Dýka d'ábelské tváře+4
1055	Dýka d'ábelské tváře+5
1056	Dýka d'ábelské tváře+6
1057	Dýka d'ábelské tváře+7
1058	Dýka d'ábelské tváře+8
1059	Dýka d'ábelské tváře+9
1060	Dýka d'ábelské pěsti+0
1061	Dýka d'ábelské pěsti+1
1062	Dýka d'ábelské pěsti+2
1063	Dýka d'ábelské pěsti+3
1064	Dýka d'ábelské pěsti+4
1065	Dýka d'ábelské pěsti+5
1066	Dýka d'ábelské pěsti+6
1067	Dýka d'ábelské pěsti+7
1068	Dýka d'ábelské pěsti+8
1069	Dýka d'ábelské pěsti+9
1070	Krvavá dýka+0
1071	Krvavá dýka+1
1072	Krvavá dýka+2
1073	Krvavá dýka+3
1074	Krvavá dýka+4
1075	Krvavá dýka+5
1076	Krvavá dýka+6
1077	Krvavá dýka+7
1078	Krvavá dýka+8
1079	Krvavá dýka+9
1080	Žebrovaný nůž+0
1081	Žebrovaný nůž+1
1082	Žebrovaný nůž+2
1083	Žebrovaný nůž+3
1084	Žebrovaný nůž+4
1085	Žebrovaný nůž+5
1086	Žebrovaný nůž+6
1087	Žebrovaný nůž+7
1088	Žebrovaný nůž+8
1089	Žebrovaný nůž+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Dračí nůž+0
1101	Dračí nůž+1
1102	Dračí nůž+2
1103	Dračí nůž+3
1104	Dračí nůž+4
1105	Dračí nůž+5
1106	Dračí nůž+6
1107	Dračí nůž+7
1108	Dračí nůž+8
1109	Dračí nůž+9
1110	Světelný nůž+0
1111	Světelný nůž+1
1112	Světelný nůž+2
1113	Světelný nůž+3
1114	Světelný nůž+4
1115	Světelný nůž+5
1116	Světelný nůž+6
1117	Světelný nůž+7
1118	Světelný nůž+8
1119	Světelný nůž+9
1120	Siamský nůž+0
1121	Siamský nůž+1
1122	Siamský nůž+2
1123	Siamský nůž+3
1124	Siamský nůž+4
1125	Siamský nůž+5
1126	Siamský nůž+6
1127	Siamský nůž+7
1128	Siamský nůž+8
1129	Siamský nůž+9
1130	Chakram křídla d'ábla+0
1131	Chakram křídla d'ábla+1
1132	Chakram křídla d'ábla+2
1133	Chakram křídla d'ábla+3
1134	Chakram křídla d'ábla+4
1135	Chakram křídla d'ábla+5
1136	Chakram křídla d'ábla+6
1137	Chakram křídla d'ábla+7
1138	Chakram křídla d'ábla+8
1139	Chakram křídla d'ábla+9
1140	Ozubený nůž+0
1141	Ozubený nůž+1
1142	Ozubený nůž+2
1143	Ozubený nůž+3
1144	Ozubený nůž+4
1145	Ozubený nůž+5
1146	Ozubený nůž+6
1147	Ozubený nůž+7
1148	Ozubený nůž+8
1149	Ozubený nůž+9
1150	Paprskovitý nůž+0
1151	Paprskovitý nůž+1
1152	Paprskovitý nůž+2
1153	Paprskovitý nůž+3
1154	Paprskovitý nůž+4
1155	Paprskovitý nůž+5
1156	Paprskovitý nůž+6
1157	Paprskovitý nůž+7
1158	Paprskovitý nůž+8
1159	Paprskovitý nůž+9
1160	Potůčkový nůž+0
1161	Potůčkový nůž+1
1162	Potůčkový nůž+2
1163	Potůčkový nůž+3
1164	Potůčkový nůž+4
1165	Potůčkový nůž+5
1166	Potůčkový nůž+6
1167	Potůčkový nůž+7
1168	Potůčkový nůž+8
1169	Potůčkový nůž+9
1170	Černolistá dýka+0
1171	Černolistá dýka+1
1172	Černolistá dýka+2
1173	Černolistá dýka+3
1174	Černolistá dýka+4
1175	Černolistá dýka+5
1176	Černolistá dýka+6
1177	Černolistá dýka+7
1178	Černolistá dýka+8
1179	Černolistá dýka+9
1340	Meč Pěti elementů +0
1341	Meč Pěti elementů +1
1342	Meč Pěti elementů +2
1343	Meč Pěti elementů +3
1344	Meč Pěti elementů +4
1345	Meč Pěti elementů +5
1346	Meč Pěti elementů +6
1347	Meč Pěti elementů +7
1348	Meč Pěti elementů +8
1349	Meč Pěti elementů +9
2000	Luk+0
2001	Luk+1
2002	Luk+2
2003	Luk+3
2004	Luk+4
2005	Luk+5
2006	Luk+6
2007	Luk+7
2008	Luk+8
2009	Luk+9
2010	Dlouhý luk+0
2011	Dlouhý luk+1
2012	Dlouhý luk+2
2013	Dlouhý luk+3
2014	Dlouhý luk+4
2015	Dlouhý luk+5
2016	Dlouhý luk+6
2017	Dlouhý luk+7
2018	Dlouhý luk+8
2019	Dlouhý luk+9
2020	Složený luk+0
2021	Složený luk+1
2022	Složený luk+2
2023	Složený luk+3
2024	Složený luk+4
2025	Složený luk+5
2026	Složený luk+6
2027	Složený luk+7
2028	Složený luk+8
2029	Složený luk+9
2030	Bitevní luk+0
2031	Bitevní luk+1
2032	Bitevní luk+2
2033	Bitevní luk+3
2034	Bitevní luk+4
2035	Bitevní luk+5
2036	Bitevní luk+6
2037	Bitevní luk+7
2038	Bitevní luk+8
2039	Bitevní luk+9
2040	Jezdecký dlouhý luk+0
2041	Jezdecký dlouhý luk+1
2042	Jezdecký dlouhý luk+2
2043	Jezdecký dlouhý luk+3
2044	Jezdecký dlouhý luk+4
2045	Jezdecký dlouhý luk+5
2046	Jezdecký dlouhý luk+6
2047	Jezdecký dlouhý luk+7
2048	Jezdecký dlouhý luk+8
2049	Jezdecký dlouhý luk+9
2050	Jezdecký bitevní luk+0
2051	Jezdecký bitevní luk+1
2052	Jezdecký bitevní luk+2
2053	Jezdecký bitevní luk+3
2054	Jezdecký bitevní luk+4
2055	Jezdecký bitevní luk+5
2056	Jezdecký bitevní luk+6
2057	Jezdecký bitevní luk+7
2058	Jezdecký bitevní luk+8
2059	Jezdecký bitevní luk+9
2060	Roubovaný měděný luk+0
2061	Roubovaný měděný luk+1
2062	Roubovaný měděný luk+2
2063	Roubovaný měděný luk+3
2064	Roubovaný měděný luk+4
2065	Roubovaný měděný luk+5
2066	Roubovaný měděný luk+6
2067	Roubovaný měděný luk+7
2068	Roubovaný měděný luk+8
