VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Sabie+0
11	Sabie+1
12	Sabie+2
13	Sabie+3
14	Sabie+4
15	Sabie+5
16	Sabie+6
17	Sabie+7
18	Sabie+8
19	Sabie+9
20	Sabie lungă+0
21	Sabie lungă+1
22	Sabie lungă+2
23	Sabie lungă+3
24	Sabie lungă+4
25	Sabie lungă+5
26	Sabie lungă+6
27	Sabie lungă+7
28	Sabie lungă+8
29	Sabie lungă+9
30	Iatagan+0
31	Iatagan+1
32	Iatagan+2
33	Iatagan+3
34	Iatagan+4
35	Iatagan+5
36	Iatagan+6
37	Iatagan+7
38	Iatagan+8
39	Iatagan+9
40	Sabie bambus+0
41	Sabie bambus+1
42	Sabie bambus+2
43	Sabie bambus+3
44	Sabie bambus+4
45	Sabie bambus+5
46	Sabie bambus+6
47	Sabie bambus+7
48	Sabie bambus+8
49	Sabie bambus+9
50	Sabie lată+0
51	Sabie lată+1
52	Sabie lată+2
53	Sabie lată+3
54	Sabie lată+4
55	Sabie lată+5
56	Sabie lată+6
57	Sabie lată+7
58	Sabie lată+8
59	Sabie lată+9
60	Sabie de argint+0
61	Sabie de argint+1
62	Sabie de argint+2
63	Sabie de argint+3
64	Sabie de argint+4
65	Sabie de argint+5
66	Sabie de argint+6
67	Sabie de argint+7
68	Sabie de argint+8
69	Sabie de argint+9
70	Sabie orhidee+0
71	Sabie orhidee+1
72	Sabie orhidee+2
73	Sabie orhidee+3
74	Sabie orhidee+4
75	Sabie orhidee+5
76	Sabie orhidee+6
77	Sabie orhidee+7
78	Sabie orhidee+8
79	Sabie orhidee+9
80	Sabie bastard+0
81	Sabie bastard+1
82	Sabie bastard+2
83	Sabie bastard+3
84	Sabie bastard+4
85	Sabie bastard+5
86	Sabie bastard+6
87	Sabie bastard+7
88	Sabie bastard+8
89	Sabie bastard+9
90	Sabie barbar+0
91	Sabie barbar+1
92	Sabie barbar+2
93	Sabie barbar+3
94	Sabie barbar+4
95	Sabie barbar+5
96	Sabie barbar+6
97	Sabie barbar+7
98	Sabie barbar+8
99	Sabie barbar+9
100	Sabie sângeroasă+0
101	Sabie sângeroasă+1
102	Sabie sângeroasă+2
103	Sabie sângeroasă+3
104	Sabie sângeroasă+4
105	Sabie sângeroasă+5
106	Sabie sângeroasă+6
107	Sabie sângeroasă+7
108	Sabie sângeroasă+8
109	Sabie sângeroasă+9
110	Sabie mare+0
111	Sabie mare+1
112	Sabie mare+2
113	Sabie mare+3
114	Sabie mare+4
115	Sabie mare+5
116	Sabie mare+6
117	Sabie mare+7
118	Sabie mare+8
119	Sabie mare+9
120	Sabie vrăjitor+0
121	Sabie vrăjitor+1
122	Sabie vrăjitor+2
123	Sabie vrăjitor+3
124	Sabie vrăjitor+4
125	Sabie vrăjitor+5
126	Sabie vrăjitor+6
127	Sabie vrăjitor+7
128	Sabie vrăjitor+8
129	Sabie vrăjitor+9
130	Sabie semilună+0
131	Sabie semilună+1
132	Sabie semilună+2
133	Sabie semilună+3
134	Sabie semilună+4
135	Sabie semilună+5
136	Sabie semilună+6
137	Sabie semilună+7
138	Sabie semilună+8
139	Sabie semilună+9
140	Sabie de bătălie+0
141	Sabie de bătălie+1
142	Sabie de bătălie+2
143	Sabie de bătălie+3
144	Sabie de bătălie+4
145	Sabie de bătălie+5
146	Sabie de bătălie+6
147	Sabie de bătălie+7
148	Sabie de bătălie+8
149	Sabie de bătălie+9
150	Lama Dintele Stafiei+0
151	Lama Dintele Stafiei+1
152	Lama Dintele Stafiei+2
153	Lama Dintele Stafiei+3
154	Lama Dintele Stafiei+4
155	Lama Dintele Stafiei+5
156	Lama Dintele Stafiei+6
157	Lama Dintele Stafiei+7
158	Lama Dintele Stafiei+8
159	Lama Dintele Stafiei+9
160	Sabie nimfă+0
161	Sabie nimfă+1
162	Sabie nimfă+2
163	Sabie nimfă+3
164	Sabie nimfă+4
165	Sabie nimfă+5
166	Sabie nimfă+6
167	Sabie nimfă+7
168	Sabie nimfă+8
169	Sabie nimfă+9
170	Spadă+0
171	Spadă+1
172	Spadă+2
173	Spadă+3
174	Spadă+4
175	Spadă+5
176	Spadă+6
177	Spadă+7
178	Spadă+8
179	Spadă+9
180	Sabie otrăvită+0
181	Sabie otrăvită+1
182	Sabie otrăvită+2
183	Sabie otrăvită+3
184	Sabie otrăvită+4
185	Sabie otrăvită+5
186	Sabie otrăvită+6
187	Sabie otrăvită+7
188	Sabie otrăvită+8
189	Sabie otrăvită+9
190	Sabie leu+0
191	Sabie leu+1
192	Sabie leu+2
193	Sabie leu+3
194	Sabie leu+4
195	Sabie leu+5
196	Sabie leu+6
197	Sabie leu+7
198	Sabie leu+8
199	Sabie leu+9
200	Lamă+0
201	Lamă+1
202	Lamă+2
203	Lamă+3
204	Lamă+4
205	Lamă+5
206	Lamă+6
207	Lamă+7
208	Lamă+8
209	Lamă+9
210	Lama Mortala+0
211	Lama Mortala+1
212	Lama Mortala+2
213	Lama Mortala+3
214	Lama Mortala+4
215	Lama Mortala+5
216	Lama Mortala+6
217	Lama Mortala+7
218	Lama Mortala+8
219	Lama Mortala+9
220	Sabie lună+0
221	Sabie lună+1
222	Sabie lună+2
223	Sabie lună+3
224	Sabie lună+4
225	Sabie lună+5
226	Sabie lună+6
227	Sabie lună+7
228	Sabie lună+8
229	Sabie lună+9
230	Sabie cer+0
231	Sabie cer+1
232	Sabie cer+2
233	Sabie cer+3
234	Sabie cer+4
235	Sabie cer+5
236	Sabie cer+6
237	Sabie cer+7
238	Sabie cer+8
239	Sabie cer+9
240	Sabie exorcism+0
241	Sabie exorcism+1
242	Sabie exorcism+2
243	Sabie exorcism+3
244	Sabie exorcism+4
245	Sabie exorcism+5
246	Sabie exorcism+6
247	Sabie exorcism+7
248	Sabie exorcism+8
249	Sabie exorcism+9
250	Lama Demon+0
251	Lama Demon+1
252	Lama Demon+2
253	Lama Demon+3
254	Lama Demon+4
255	Lama Demon+5
256	Lama Demon+6
257	Lama Demon+7
258	Lama Demon+8
259	Lama Demon+9
260	Sabie baron+0
261	Sabie baron+1
262	Sabie baron+2
263	Sabie baron+3
264	Sabie baron+4
265	Sabie baron+5
266	Sabie baron+6
267	Sabie baron+7
268	Sabie baron+8
269	Sabie baron+9
270	Sabie Triton+0
271	Sabie Triton+1
272	Sabie Triton+2
273	Sabie Triton+3
274	Sabie Triton+4
275	Sabie Triton+5
276	Sabie Triton+6
277	Sabie Triton+7
278	Sabie Triton+8
279	Sabie Triton+9
280	Sabie sfântă+0
281	Sabie sfântă+1
282	Sabie sfântă+2
283	Sabie sfântă+3
284	Sabie sfântă+4
285	Sabie sfântă+5
286	Sabie sfântă+6
287	Sabie sfântă+7
288	Sabie sfântă+8
289	Sabie sfântă+9
290	Sabie lună plină+0
291	Sabie lună plină+1
292	Sabie lună plină+2
293	Sabie lună plină+3
294	Sabie lună plină+4
295	Sabie lună plină+5
296	Sabie lună plină+6
297	Sabie lună plină+7
298	Sabie lună plină+8
299	Sabie lună plină+9
460	Sabie Inscriptionata +0
461	Sabie Inscriptionata +1
462	Sabie Inscriptionata +2
463	Sabie Inscriptionata +3
464	Sabie Inscriptionata +4
465	Sabie Inscriptionata +5
466	Sabie Inscriptionata +6
467	Sabie Inscriptionata +7
468	Sabie Inscriptionata +8
469	Sabie Inscriptionata +9
470	Lama Dinte Dragon +0
471	Lama Dinte Dragon +1
472	Lama Dinte Dragon +2
473	Lama Dinte Dragon +3
474	Lama Dinte Dragon +4
475	Lama Dinte Dragon +5
476	Lama Dinte Dragon +6
477	Lama Dinte Dragon +7
478	Lama Dinte Dragon +8
479	Lama Dinte Dragon +9
1000	Pumnal+0
1001	Pumnal+1
1002	Pumnal+2
1003	Pumnal+3
1004	Pumnal+4
1005	Pumnal+5
1006	Pumnal+6
1007	Pumnal+7
1008	Pumnal+8
1009	Pumnal+9
1010	Pumnal cobra+0
1011	Pumnal cobra+1
1012	Pumnal cobra+2
1013	Pumnal cobra+3
1014	Pumnal cobra+4
1015	Pumnal cobra+5
1016	Pumnal cobra+6
1017	Pumnal cobra+7
1018	Pumnal cobra+8
1019	Pumnal cobra+9
1020	Pumnal foarfece+0
1021	Pumnal foarfece+1
1022	Pumnal foarfece+2
1023	Pumnal foarfece+3
1024	Pumnal foarfece+4
1025	Pumnal foarfece+5
1026	Pumnal foarfece+6
1027	Pumnal foarfece+7
1028	Pumnal foarfece+8
1029	Pumnal foarfece+9
1030	Cuţit norocos+0
1031	Cuţit norocos+1
1032	Cuţit norocos+2
1033	Cuţit norocos+3
1034	Cuţit norocos+4
1035	Cuţit norocos+5
1036	Cuţit norocos+6
1037	Cuţit norocos+7
1038	Cuţit norocos+8
1039	Cuţit norocos+9
1040	Cuţit muşcătura pisic.+0
1041	Cuţit muşcătura pisic.+1
1042	Cuţit muşcătura pisic.+2
1043	Cuţit muşcătura pisic.+3
1044	Cuţit muşcătura pisic.+4
1045	Cuţit muşcătura pisic.+5
1046	Cuţit muşcătura pisic.+6
1047	Cuţit muşcătura pisic.+7
1048	Cuţit muşcătura pisic.+8
1049	Cuţit muşcătura pisic.+9
1050	Pumnal mască de diavol+0
1051	Pumnal mască de diavol+1
1052	Pumnal mască de diavol+2
1053	Pumnal mască de diavol+3
1054	Pumnal mască de diavol+4
1055	Pumnal mască de diavol+5
1056	Pumnal mască de diavol+6
1057	Pumnal mască de diavol+7
1058	Pumnal mască de diavol+8
1059	Pumnal mască de diavol+9
1060	Pumnal pumn de diavol+0
1061	Pumnal pumn de diavol+1
1062	Pumnal pumn de diavol+2
1063	Pumnal pumn de diavol+3
1064	Pumnal pumn de diavol+4
1065	Pumnal pumn de diavol+5
1066	Pumnal pumn de diavol+6
1067	Pumnal pumn de diavol+7
1068	Pumnal pumn de diavol+8
1069	Pumnal pumn de diavol+9
1070	Pumnal sângeros+0
1071	Pumnal sângeros+1
1072	Pumnal sângeros+2
1073	Pumnal sângeros+3
1074	Pumnal sângeros+4
1075	Pumnal sângeros+5
1076	Pumnal sângeros+6
1077	Pumnal sângeros+7
1078	Pumnal sângeros+8
1079	Pumnal sângeros+9
1080	Cuţit de coaste+0
1081	Cuţit de coaste+1
1082	Cuţit de coaste+2
1083	Cuţit de coaste+3
1084	Cuţit de coaste+4
1085	Cuţit de coaste+5
1086	Cuţit de coaste+6
1087	Cuţit de coaste+7
1088	Cuţit de coaste+8
1089	Cuţit de coaste+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Cutit Dragon+0
1101	Cutit Dragon+1
1102	Cutit Dragon+2
1103	Cutit Dragon+3
1104	Cutit Dragon+4
1105	Cutit Dragon+5
1106	Cutit Dragon+6
1107	Cutit Dragon+7
1108	Cutit Dragon+8
1109	Cutit Dragon+9
1110	Cuţit fulger+0
1111	Cuţit fulger+1
1112	Cuţit fulger+2
1113	Cuţit fulger+3
1114	Cuţit fulger+4
1115	Cuţit fulger+5
1116	Cuţit fulger+6
1117	Cuţit fulger+7
1118	Cuţit fulger+8
1119	Cuţit fulger+9
1120	Cuţit siamez+0
1121	Cuţit siamez+1
1122	Cuţit siamez+2
1123	Cuţit siamez+3
1124	Cuţit siamez+4
1125	Cuţit siamez+5
1126	Cuţit siamez+6
1127	Cuţit siamez+7
1128	Cuţit siamez+8
1129	Cuţit siamez+9
1130	Chakram aripă  diavol+0
1131	Chakram aripă diavol+1
1132	Chakram aripă diavol+2
1133	Chakram aripă diavol+3
1134	Chakram aripă diavol+4
1135	Chakram aripă diavol+5
1136	Chakram aripă diavol+6
1137	Chakram aripă diavol+7
1138	Chakram aripă diavol+8
1139	Chakram aripă diavol+9
1140	Cuţit ferăstrău+0
1141	Cuţit ferăstrău+1
1142	Cuţit ferăstrău+2
1143	Cuţit ferăstrău+3
1144	Cuţit ferăstrău+4
1145	Cuţit ferăstrău+5
1146	Cuţit ferăstrău+6
1147	Cuţit ferăstrău+7
1148	Cuţit ferăstrău+8
1149	Cuţit ferăstrău+9
1150	Cuţit rază de soare+0
1151	Cuţit rază de soare+1
1152	Cuţit rază de soare+2
1153	Cuţit rază de soare+3
1154	Cuţit rază de soare+4
1155	Cuţit rază de soare+5
1156	Cuţit rază de soare+6
1157	Cuţit rază de soare+7
1158	Cuţit rază de soare+8
1159	Cuţit rază de soare+9
1160	Cuţit pârâu+0
1161	Cuţit pârâu+1
1162	Cuţit pârâu+2
1163	Cuţit pârâu+3
1164	Cuţit pârâu+4
1165	Cuţit pârâu+5
1166	Cuţit pârâu+6
1167	Cuţit pârâu+7
1168	Cuţit pârâu+8
1169	Cuţit pârâu+9
1170	Pumnal foaie neagră+0
1171	Pumnal foaie neagră+1
1172	Pumnal foaie neagră+2
1173	Pumnal foaie neagră+3
1174	Pumnal foaie neagră+4
1175	Pumnal foaie neagră+5
1176	Pumnal foaie neagră+6
1177	Pumnal foaie neagră+7
1178	Pumnal foaie neagră+8
1179	Pumnal foaie neagră+9
1340	Lama 5 Elemente +0
1341	Lama 5 Elemente +1
1342	Lama 5 Elemente +2
1343	Lama 5 Elemente +3
1344	Lama 5 Elemente +4
1345	Lama 5 Elemente +5
1346	Lama 5 Elemente +6
1347	Lama 5 Elemente +7
1348	Lama 5 Elemente +8
1349	Lama 5 Elemente +9
2000	Arc+0
2001	Arc+1
2002	Arc+2
2003	Arc+3
2004	Arc+4
2005	Arc+5
2006	Arc+6
2007	Arc+7
2008	Arc+8
2009	Arc+9
2010	Arc lung+0
2011	Arc lung+1
2012	Arc lung+2
2013	Arc lung+3
2014	Arc lung+4
2015	Arc lung+5
2016	Arc lung+6
2017	Arc lung+7
2018	Arc lung+8
2019	Arc lung+9
2020	Arc compozit+0
2021	Arc compozit+1
2022	Arc compozit+2
2023	Arc compozit+3
2024	Arc compozit+4
2025	Arc compozit+5
2026	Arc compozit+6
2027	Arc compozit+7
2028	Arc compozit+8
2029	Arc compozit+9
2030	Arc de război+0
2031	Arc de război+1
2032	Arc de război+2
2033	Arc de război+3
2034	Arc de război+4
2035	Arc de război+5
2036	Arc de război+6
2037	Arc de război+7
2038	Arc de război+8
2039	Arc de război+9
2040	Arc lung de călăreţ+0
2041	Arc lung de călăreţ+1
2042	Arc lung de călăreţ+2
2043	Arc lung de călăreţ+3
2044	Arc lung de călăreţ+4
2045	Arc lung de călăreţ+5
2046	Arc lung de călăreţ+6
2047	Arc lung de călăreţ+7
2048	Arc lung de călăreţ+8
2049	Arc lung de călăreţ+9
2050	Arc călăreţ de război+0
2051	Arc călăreţ de război+1
2052	Arc călăreţ de război+2
2053	Arc călăreţ de război+3
2054	Arc călăreţ de război+4
2055	Arc călăreţ de război+5
2056	Arc călăreţ de război+6
2057	Arc călăreţ de război+7
2058	Arc călăreţ de război+8
2059	Arc călăreţ de război+9
2060	Arc ornament cupru+0
2061	Arc ornament cupru+1
2062	Arc ornament cupru+2
2063	Arc ornament cupru+3
