VNUM	LOCALE_NAME
1	Yang
2	By TMP4
10	Kılıç+0
11	Kılıç+1
12	Kılıç+2
13	Kılıç+3
14	Kılıç+4
15	Kılıç+5
16	Kılıç+6
17	Kılıç+7
18	Kılıç+8
19	Kılıç+9
20	Uzun Kılıç+0
21	Uzun Kılıç+1
22	Uzun Kılıç+2
23	Uzun Kılıç+3
24	Uzun Kılıç+4
25	Uzun Kılıç+5
26	Uzun Kılıç+6
27	Uzun Kılıç+7
28	Uzun Kılıç+8
29	Uzun Kılıç+9
30	Hilal Kılıç +0
31	Hilal Kılıç+1
32	Hilal Kılıç+2
33	Hilal Kılıç+3
34	Hilal Kılıç+4
35	Hilal Kılıç+5
36	Hilal Kılıç+6
37	Hilal Kılıç+7
38	Hilal Kılıç+8
39	Hilal Kılıç+9
40	Bambu Kılıcı+0
41	Bambu Kılıcı+1
42	Bambu Kılıcı+2
43	Bambu Kılıcı+3
44	Bambu Kılıcı+4
45	Bambu Kılıcı+5
46	Bambu Kılıcı+6
47	Bambu Kılıcı+7
48	Bambu Kılıcı+8
49	Bambu Kılıcı+9
50	Geniş Kılıç+1
51	Geniş Kılıç+1
52	Geniş Kılıç+2
53	Geniş Kılıç+3
54	Geniş Kılıç+4
55	Geniş Kılıç+5
56	Geniş Kılıç+6
57	Geniş Kılıç+7
58	Geniş Kılıç+8
59	Geniş Kılıç+9
60	Gümüş Kılıç+0
61	Gümüş Kılıç+1
62	Gümüş Kılıç+2
63	Gümüş Kılıç+3
64	Gümüş Kılıç+4
65	Gümüş Kılıç+5
66	Gümüş Kılıç+6
67	Gümüş Kılıç+7
68	Gümüş Kılıç+8
69	Gümüş Kılıç+9
70	Orkide Kılıcı+0
71	Orkide Kılıcı+1
72	Orkide Kılıcı+2
73	Orkide Kılıcı+3
74	Orkide Kılıcı+4
75	Orkide Kılıcı+5
76	Orkide Kılıcı+6
77	Orkide Kılıcı+7
78	Orkide Kılıcı+8
79	Orkide Kılıcı+9
80	Sahte Kılıç+0
81	Sahte Kılıç+1
82	Sahte Kılıç+2
83	Sahte Kılıç+3
84	Sahte Kılıç+4
85	Sahte Kılıç+5
86	Sahte Kılıç+6
87	Sahte Kılıç+7
88	Sahte Kılıç+8
89	Sahte Kılıç+9
90	Barbar Kılıcı+0
91	Barbar Kılıcı+1
92	Barbar Kılıcı+2
93	Barbar Kılıcı+3
94	Barbar Kılıcı+4
95	Barbar Kılıcı+5
96	Barbar Kılıcı+6
97	Barbar Kılıcı+7
98	Barbar Kılıcı+8
99	Barbar Kılıcı+9
100	Kanlı Kılıç+0
101	Kanlı Kılıç+1
102	Kanlı Kılıç+2
103	Kanlı Kılıç+3
104	Kanlı Kılıç+4
105	Kanlı Kılıç+5
106	Kanlı Kılıç+6
107	Kanlı Kılıç+7
108	Kanlı Kılıç+8
109	Kanlı Kılıç+9
110	Büyük Kılıç+0
111	Büyük Kılıç+1
112	Büyük Kılıç+2
113	Büyük Kılıç+3
114	Büyük Kılıç+4
115	Büyük Kılıç+5
116	Büyük Kılıç+6
117	Büyük Kılıç+7
118	Büyük Kılıç+8
119	Büyük Kılıç+9
120	Uçan Büyücü Kılıcı+0
121	Uçan Büyücü Kılıcı+1
122	Uçan Büyücü Kılıcı+2
123	Uçan Büyücü Kılıcı+3
124	Uçan Büyücü Kılıcı+4
125	Uçan Büyücü Kılıcı+5
126	Uçan Büyücü Kılıcı+6
127	Uçan Büyücü Kılıcı+7
128	Uçan Büyücü Kılıcı+8
129	Uçan Büyücü Kılıcı+9
130	Yarımay Kılıcı+0
131	Yarımay Kılıcı+1
132	Yarımay Kılıcı+2
133	Yarımay Kılıcı+3
134	Yarımay Kılıcı+4
135	Yarımay Kılıcı+5
136	Yarımay Kılıcı+6
137	Yarımay Kılıcı+7
138	Yarımay Kılıcı+8
139	Yarımay Kılıcı+9
140	Muharebe Kılıcı+0
141	Muharebe Kılıcı+1
142	Muharebe Kılıcı+2
143	Muharebe Kılıcı+3
144	Muharebe Kılıcı+4
145	Muharebe Kılıcı+5
146	Muharebe Kılıcı+6
147	Muharebe Kılıcı+7
148	Muharebe Kılıcı+8
149	Muharebe Kılıcı+9
150	Hortlak Dişi Kılıcı+0
151	Hortlak Dişi Kılıcı+1
152	Hortlak Dişi Kılıcı+2
153	Hortlak Dişi Kılıcı+3
154	Hortlak Dişi Kılıcı+4
155	Hortlak Dişi Kılıcı+5
156	Hortlak Dişi Kılıcı+6
157	Hortlak Dişi Kılıcı+7
158	Hortlak Dişi Kılıcı+8
159	Hortlak Dişi Kılıcı+9
160	Su Perisi Kılıcı+0
161	Su Perisi Kılıcı+1
162	Su Perisi Kılıcı+2
163	Su Perisi Kılıcı+3
164	Su Perisi Kılıcı+4
165	Su Perisi Kılıcı+5
166	Su Perisi Kılıcı+6
167	Su Perisi Kılıcı+7
168	Su Perisi Kılıcı+8
169	Su Perisi Kılıcı+9
170	Azap Kılıcı+0
171	Azap Kılıcı+1
172	Azap Kılıcı+2
173	Azap Kılıcı+3
174	Azap Kılıcı+4
175	Azap Kılıcı+5
176	Azap Kılıcı+6
177	Azap Kılıcı+7
178	Azap Kılıcı+8
179	Azap Kılıcı+9
180	Zehir Kılıcı+0
181	Zehir Kılıcı+1
182	Zehir Kılıcı+2
183	Zehir Kılıcı+3
184	Zehir Kılıcı+4
185	Zehir Kılıcı+5
186	Zehir Kılıcı+6
187	Zehir Kılıcı+7
188	Zehir Kılıcı+8
189	Zehir Kılıcı+9
190	Aslan Kılıcı+0
191	Aslan Kılıcı+1
192	Aslan Kılıcı+2
193	Aslan Kılıcı+3
194	Aslan Kılıcı+4
195	Aslan Kılıcı+5
196	Aslan Kılıcı+6
197	Aslan Kılıcı+7
198	Aslan Kılıcı+8
199	Aslan Kılıcı+9
200	Keskin Pala+0
201	Keskin Pala+1
202	Keskin Pala+2
203	Keskin Pala+3
204	Keskin Pala+4
205	Keskin Pala+5
206	Keskin Pala+6
207	Keskin Pala+7
208	Keskin Pala+8
209	Keskin Pala+9
210	Öldürücü Pala+0
211	Öldürücü Pala+1
212	Öldürücü Pala+2
213	Öldürücü Pala+3
214	Öldürücü Pala+4
215	Öldürücü Pala+5
216	Öldürücü Pala+6
217	Öldürücü Pala+7
218	Öldürücü Pala+8
219	Öldürücü Pala+9
220	Ay Kılıcı+0
221	Ay Kılıcı+1
222	Ay Kılıcı+2
223	Ay Kılıcı+3
224	Ay Kılıcı+4
225	Ay Kılıcı+5
226	Ay Kılıcı+6
227	Ay Kılıcı+7
228	Ay Kılıcı+8
229	Ay Kılıcı+9
230	İlahi Kılıç+0
231	İlahi Kılıç+1
232	İlahi Kılıç+2
233	İlahi Kılıç+3
234	İlahi Kılıç+4
235	İlahi Kılıç+5
236	İlahi Kılıç+6
237	İlahi Kılıç+7
238	İlahi Kılıç+8
239	İlahi Kılıç+9
240	Şeytan Çıkarma Kılıcı+0
241	Şeytan Çıkarma Kılıcı+1
242	Şeytan Çıkarma Kılıcı+2
243	Şeytan Çıkarma Kılıcı+3
244	Şeytan Çıkarma Kılıcı+4
245	Şeytan Çıkarma Kılıcı+5
246	Şeytan Çıkarma Kılıcı+6
247	Şeytan Çıkarma Kılıcı+7
248	Şeytan Çıkarma Kılıcı+8
249	Şeytan Çıkarma Kılıcı+9
250	Şeytani Pala+0
251	Şeytani Pala+1
252	Şeytani Pala+2
253	Şeytani Pala+3
254	Şeytani Pala+4
255	Şeytani Pala+5
256	Şeytani Pala+6
257	Şeytani Pala+7
258	Şeytani Pala+8
259	Şeytani Pala+9
260	Baron Kılıcı+0
261	Baron Kılıcı+1
262	Baron Kılıcı+2
263	Baron Kılıcı+3
264	Baron Kılıcı+4
265	Baron Kılıcı+5
266	Baron Kılıcı+6
267	Baron Kılıcı+7
268	Baron Kılıcı+8
269	Baron Kılıcı+9
270	Triton Kılıcı+0
271	Triton Kılıcı+1
272	Triton Kılıcı+2
273	Triton Kılıcı+3
274	Triton Kılıcı+4
275	Triton Kılıcı+5
276	Triton Kılıcı+6
277	Triton Kılıcı+7
278	Triton Kılıcı+8
279	Triton Kılıcı+9
280	Kutsal Kılıç+0
281	Kutsal Kılıç+1
282	Kutsal Kılıç+2
283	Kutsal Kılıç+3
284	Kutsal Kılıç+4
285	Kutsal Kılıç+5
286	Kutsal Kılıç+6
287	Kutsal Kılıç+7
288	Kutsal Kılıç+8
289	Kutsal Kılıç+9
290	Dolunay Kılıcı+0
291	Dolunay Kılıcı+1
292	Dolunay Kılıcı+2
293	Dolunay Kılıcı+3
294	Dolunay Kılıcı+4
295	Dolunay Kılıcı+5
296	Dolunay Kılıcı+6
297	Dolunay Kılıcı+7
298	Dolunay Kılıcı+8
299	Dolunay Kılıcı+9
460	Runik Kılıç +0
461	Runik Kılıç +1
462	Runik Kılıç +2
463	Runik Kılıç +3
464	Runik Kılıç +4
465	Runik Kılıç +5
466	Runik Kılıç +6
467	Runik Kılıç +7
468	Runik Kılıç +8
469	Runik Kılıç +9
470	Ejderha Dişi Kılıcı +0
471	Ejderha Dişi Kılıcı +1
472	Ejderha Dişi Kılıcı +2
473	Ejderha Dişi Kılıcı +3
474	Ejderha Dişi Kılıcı +4
475	Ejderha Dişi Kılıcı +5
476	Ejderha Dişi Kılıcı +6
477	Ejderha Dişi Kılıcı +7
478	Ejderha Dişi Kılıcı +8
479	Ejderha Dişi Kılıcı +9
1000	Hançer+0
1001	Hançer+1
1002	Hançer+2
1003	Hançer+3
1004	Hançer+4
1005	Hançer+5
1006	Hançer+6
1007	Hançer+7
1008	Hançer+8
1009	Hançer+9
1010	Kobra Hançeri+0
1011	Kobra Hançeri+1
1012	Kobra Hançeri+2
1013	Kobra Hançeri+3
1014	Kobra Hançeri+4
1015	Kobra Hançeri+5
1016	Kobra Hançeri+6
1017	Kobra Hançeri+7
1018	Kobra Hançeri+8
1019	Kobra Hançeri+9
1020	Makas Hançer+0
1021	Makas Hançer+1
1022	Makas Hançer+2
1023	Makas Hançer+3
1024	Makas Hançer+4
1025	Makas Hançer+5
1026	Makas Hançer+6
1027	Makas Hançer+7
1028	Makas Hançer+8
1029	Makas Hançer+9
1030	Şanslı Bıçak+0
1031	Şanslı Bıçak+1
1032	Şanslı Bıçak+2
1033	Şanslı Bıçak+3
1034	Şanslı Bıçak+4
1035	Şanslı Bıçak+5
1036	Şanslı Bıçak+6
1037	Şanslı Bıçak+7
1038	Şanslı Bıçak+8
1039	Şanslı Bıçak+9
1040	Kedi Isırığı Bıçak+0
1041	Kedi Isırığı Bıçak+1
1042	Kedi Isırığı Bıçak+2
1043	Kedi Isırığı Bıçak+3
1044	Kedi Isırığı Bıçak+4
1045	Kedi Isırığı Bıçak+5
1046	Kedi Isırığı Bıçak+6
1047	Kedi Isırığı Bıçak+7
1048	Kedi Isırığı Bıçak+8
1049	Kedi Isırığı Bıçak+9
1050	Şeytan Surat Hançer+0
1051	Şeytan Surat Hançer+1
1052	Şeytan Surat Hançer+2
1053	Şeytan Surat Hançer+3
1054	Şeytan Surat Hançer+4
1055	Şeytan Surat Hançer+5
1056	Şeytan Surat Hançer+6
1057	Şeytan Surat Hançer+7
1058	Şeytan Surat Hançer+8
1059	Şeytan Surat Hançer+9
1060	Şeytan Yumruğu Hançeri+0
1061	Şeytan Yumruğu Hançeri+1
1062	Şeytan Yumruğu Hançeri+2
1063	Şeytan Yumruğu Hançeri+3
1064	Şeytan Yumruğu Hançeri+4
1065	Şeytan Yumruğu Hançeri+5
1066	Şeytan Yumruğu Hançeri+6
1067	Şeytan Yumruğu Hançeri+7
1068	Şeytan Yumruğu Hançeri+8
1069	Şeytan Yumruğu Hançeri+9
1070	Kanlı Hançer+0
1071	Kanlı Hançer+1
1072	Kanlı Hançer+2
1073	Kanlı Hançer+3
1074	Kanlı Hançer+4
1075	Kanlı Hançer+5
1076	Kanlı Hançer+6
1077	Kanlı Hançer+7
1078	Kanlı Hançer+8
1079	Kanlı Hançer+9
1080	Kaburga Bıçak+0
1081	Kaburga Bıçak+1
1082	Kaburga Bıçak+2
1083	Kaburga Bıçak+3
1084	Kaburga Bıçak+4
1085	Kaburga Bıçak+5
1086	Kaburga Bıçak+6
1087	Kaburga Bıçak+7
1088	Kaburga Bıçak+8
1089	Kaburga Bıçak+9
1090	Çakram+0
1091	Çakram+1
1092	Çakram+2
1093	Çakram+3
1094	Çakram+4
1095	Çakram+5
1096	Çakram+6
1097	Çakram+7
1098	Çakram+8
1099	Çakram+9
1100	Ejderha Bıçağı+0
1101	Ejderha Bıçağı+1
1102	Ejderha Bıçağı+2
1103	Ejderha Bıçağı+3
1104	Ejderha Bıçağı+4
1105	Ejderha Bıçağı+5
1106	Ejderha Bıçağı+6
1107	Ejderha Bıçağı+7
1108	Ejderha Bıçağı+8
1109	Ejderha Bıçağı+9
1110	Şimşek Bıçağı+0
1111	Şimşek Bıçağı+1
1112	Şimşek Bıçağı+2
1113	Şimşek Bıçağı+3
1114	Şimşek Bıçağı+4
1115	Şimşek Bıçağı+5
1116	Şimşek Bıçağı+6
1117	Şimşek Bıçağı+7
1118	Şimşek Bıçağı+8
1119	Şimşek Bıçağı+9
1120	Siam Bıçağı+0
1121	Siam Bıçağı+1
1122	Siam Bıçağı+2
1123	Siam Bıçağı+3
1124	Siam Bıçağı+4
1125	Siam Bıçağı+5
1126	Siam Bıçağı+6
1127	Siam Bıçağı+7
1128	Siam Bıçağı+8
1129	Siam Bıçağı+9
1130	Şeytan Kanadı Çakram+0
1131	Şeytan Kanadı Çakram+1
1132	Şeytan Kanadı Çakram+2
1133	Şeytan Kanadı Çakram+3
1134	Şeytan Kanadı Çakram+4
1135	Şeytan Kanadı Çakram+5
1136	Şeytan Kanadı Çakram+6
1137	Şeytan Kanadı Çakram+7
1138	Şeytan Kanadı Çakram+8
1139	Şeytan Kanadı Çakram+9
1140	Testere Diş Bıçağı+0
1141	Testere Diş Bıçağı+1
1142	Testere Diş Bıçağı+2
1143	Testere Diş Bıçağı+3
1144	Testere Diş Bıçağı+4
1145	Testere Diş Bıçağı+5
1146	Testere Diş Bıçağı+6
1147	Testere Diş Bıçağı+7
1148	Testere Diş Bıçağı+8
1149	Testere Diş Bıçağı+9
1150	Gün Işığı Bıçağı+0
1151	Gün Işığı Bıçağı+1
1152	Gün Işığı Bıçağı+2
1153	Gün Işığı Bıçağı+3
1154	Gün Işığı Bıçağı+4
1155	Gün Işığı Bıçağı+5
1156	Gün Işığı Bıçağı+6
1157	Gün Işığı Bıçağı+7
1158	Gün Işığı Bıçağı+8
1159	Gün Işığı Bıçağı+9
1160	Rivulet Bıçağı+0
1161	Rivulet Bıçağı+1
1162	Rivulet Bıçağı+2
1163	Rivulet Bıçağı+3
1164	Rivulet Bıçağı+4
1165	Rivulet Bıçağı+5
1166	Rivulet Bıçağı+6
1167	Rivulet Bıçağı+7
1168	Rivulet Bıçağı+8
1169	Rivulet Bıçağı+9
1170	Siyah Yaprak Hançeri+0
1171	Siyah Yaprak Hançeri+1
