VNUM	LOCALE_NAME
101	Yabani Köpek
102	Kurt
103	Alfa Kurt
104	Mavi Kurt
105	Alfa Mavi Kurt
106	Gri Kurt
107	Alfa Gri Kurt
108	Yaban Domuzu
109	Kırmızı Yaban Domuzu
110	Ayı
111	Boz Ayı
112	Siyah Ayı
113	Kahverengi Ayı
114	Kaplan
115	Beyaz Kaplan
131	Lanetli Kurt
132	Lanetli Alfa Kurt
133	Lanetli Mavi Kurt
134	Lanetli Alfa Mavi Kurt
135	Lanetli Gri Kurt
136	Lanetli Alfa Gri Kurt
137	Lanetli Yaban Domuzu
138	Lan.Kırmızı Yaban Domuzu
139	Lanetli Ayı
140	Lanetli Gri Ayı
141	Lanetli Siyah Ayı
142	Lanetli Kahverengi Ayı
143	Lanetli Kaplan
144	Lanetli Beyaz Kaplan
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Aç Yabani Köpek
172	Aç Kurt
173	Aç Alfa Kurt
174	Aç Mavi Kurt
175	Aç Alfa Mavi Kurt
176	Aç Gri Kurt
177	Aç Alfa Gri Kurt
178	Aç Yaban Domuzu
179	Aç Kırmızı Yaban Domuzu
180	Aç Ayı
181	Aç Boz Ayı
182	Aç Siyah Ayı
183	Aç Kahverengi Ayı
184	Aç Kaplan
185	Aç Beyaz Kaplan
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Beyaz Yeminli Asker
302	Beyaz Yeminli Okçu
303	Beyaz Yeminli General
304	Beyaz Yeminli Komutan
331	Beyaz Yeminli Asker
332	Beyaz Yeminli Okçu
333	Beyaz Yeminli General
334	Beyaz Yeminli Komutan
351	Korkak Beyaz Yeminli Aske
352	Korkak Beyaz Yeminli Okçu
353	Korkak Beyaz Yeminli Gene
354	Korkak Beyaz Yeminli Komu
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Moralsiz Mi-Jung
396	Moralsiz Eun-Jung
397	Moralsiz Se-Rang
398	Moralsiz Jin-Hee
401	Siyah Rüzgar Askeri
402	Siyah Rüzgar Delisi
403	Siyah Rüzgar Okçusu
404	Siyah Rüzgar Jak-To
405	Siyah Rüzgar To-Su
406	Siyah Rüzgar Gu-Ryung
431	Siyah Fırtına Askeri
432	Siyah Fırtına Delisi
433	Siyah Fırtına Okçusu
434	Siyah Fırtına Joh-Hwan
435	Siyah Fırtına Kyuk-Jan
436	Siyah Fırtına Pho-Hwan
451	Kötü Siy. Fırtına Askeri
452	Kötü Siy. Fırtına Delisi
453	Kötü Siy.Fırtına Okçusu
454	KötüSiy.Fırtına Joh-Hwan
455	KötüSiy.Fırtına Kyuk-Jan
456	KötüSiy.Fırtına Pha-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Yabani Piyade
502	Yabani Uşak
503	Yabani Okçu
504	Yabani General
531	Vahşi Asker
532	Vahşi Deli
533	Vahşi Okçu
534	Vahşi Uzman
551	Güçlü Yabani Asker
552	Güçlü Yabani Deli
553	Güçlü Yabani Okçu
554	Güçlü Yabani General
591	Vahşi Yüzbaşı
595	Vahşi Geum-Chul
601	Ork
602	Ork Gözcüsü
603	Ork Savaşçısı
604	Ork Büyücüsü
631	Elit Ork
632	Elit Ork Gözcüsü
633	Elit Ork Savaşçısı
634	Elit Ork Büyücüsü
635	Elit Ork Generali
636	Siyah Ork
637	Siyah Ork Devi
651	Cesur Büyük Ork
652	Cesur Büyük Ork Gözcüsü
653	Cesur Büyük OrkSavaşçısı
654	Cesur Büyük Ork Büyücüsü
655	Cesur Büyük Ork Generali
656	Cesur Siyah Ork
657	Cesur Siyah Ork Devi
691	Ork Reisi
692	Elit Ork Reisi
693	Dirilmiş Ork Reisi
701	Karanlık Fanatik
702	Karanlık Arahan
703	Mistik Arahan Savaşçısı
704	Mistik Arahan Reisi
705	Mistik Cellat
706	Karanlık İşkenceci
707	Karanlık Haberci
731	Kibirli Karanlık Fanatik
732	Kibirli Karanlık Arahan
733	Kibirli Karanlık Savaşçı
734	Kibirli Karanlık Albay
735	Kibirli Karanlık Nişancı
736	Elit Mistik İşkenceci
737	Elit Mistik Haberci
751	Büyük Fanatik
752	Büyük Arahan
753	Büyük Arahan Savaşçısı
754	Büyük Elit Arahan
755	Büyük Cellat
756	Büyük İşkenceci
757	Büyük Haberci
771	Vahşi Fanatik
772	Vahşi Arahan
773	Vahşi Arahan Savaşçısı
774	Vahşi Arahan Reisi
775	Vahşi Cellat
776	Vahşi İşkenceci
777	Vahşi Haberci
791	Karanlık Lider
792	Karanlık Hayalet Lider
793	Elit Karanlık Lider
794	Elit Karan.Hayalet Lider
795	Elit Savaşçı
796	Elit Mistik Savaşçı
901	Zombi
902	Hastalıklı Köpek
903	Hastalıklı Adam
904	Hast. Kılıç Savaşçısı
905	Hastalıklı Mızrakçı
906	Hastalıklı Okçu
907	Hastalıklı Lider
931	Kızgın Zombi
932	Kızgın Hastalıklı Köpek
933	Kızgın Hastalıklı Adam
934	Kızg.Hast.KılıçSavaşçısı
935	Kızgın Hastal. Mızrakçı
936	Kızgın Hastalıklı Okçu
937	Kızgın Hastalıklı Lider
991	Hastalıklı Yumurta
992	Hastalık Taşıyıcısı
993	Dev Hastalık Taşıyıcısı
1001	Şeytan Askeri
1002	Şeytan Okçusu
1003	Şeytan Mızrakçısı
1004	Şeytan Şamanı
1031	Çirkin Şeytan Askeri
1032	Çirkin Şeytan Okçusu
1033	Çirkin Şeytan Mızrakçısı
1034	Çirkin Şeytan Şamanı
1035	Hınç Hayaleti
1036	Kaos Hayaleti
1037	Çirkin Şeytan Lideri
1038	Kafatası Kılıç Ustası
1039	Uçan Kafatası
1040	Ölümsüz Hayalet
1041	Şeytani Canavar
1061	Ölümcül Şeytan Askeri
1062	Ölümcül Şeytan Okçusu
1063	Ölümcül ŞeytanMızrakçısı
1064	Ölümcül Şeytan Şamanı
1065	Ölümcül Hınç Hayaleti
1066	Ölümcül Kaos Hayaleti
1067	Ölümcül Şeytan Lideri
1068	Hayalet Kılıç Ustası
1069	Ölümcül Uçan Kafatası
1070	Ölümsüz Hayalet
1071	Şeytani Canavar
1091	Şeytan Kralı
1092	Kibirli Şeytan Kralı
1093	Lusifer
1094	Elit Çirkin Şeytan Kralı
1095	Mavi Ölüm
1096	????
1101	Büyülü Buz
1102	Buz Katil Balinası
1103	Buz Böceği
1104	Buz Arslanı
1105	Buz Adam
1106	Yeti
1107	Buz Golemi
1131	Yeraltı Buz Parçası
1132	Yeraltı BuzKatilBalinası
1133	Yeraltı Buz Böceği
1134	Yeraltı Buz Aslanı
1135	Yeraltı Buz Adamı
1136	Yeraltı Yetisi
1137	Yeraltı Buz Golemi
1151	Buz Şeytan
1152	Buz Boynuzlu Katil Balina
1153	Buz Haşeresi
1154	Seol-Gu
1155	Buz Adam
1156	Buz Devi
1157	Buz Golemi
1171	Acımasız Büyülü Buz
1172	Acımasız Buz Balina
1173	Acımasız Buz Böcek
1174	Acımasız Buz Arslan
1175	Acımasız Buz Adam
1176	Acımasız Yeti
1177	Acımasız Buz Golemi
1191	Buz Cadı
1192	Güçlü Buz Cadısı
1301	Ağaç Kurbağası Askeri
1302	Ağaç Kurbağası Lideri
1303	Gulyabani
1304	Sarı Kaplan Hayaleti
1305	Kurbağa Generali
1306	Elit SarıKaplan Hayaleti
1307	Elit SarıKaplan Hayaleti
1308	NoNAme
1309	NoNAme
1310	NoNAme
1331	Büy.AğaçKurbağası Askeri
1332	Büy.AğaçKurbağası Lideri
1333	Büyük Gulyabani
1334	Büy.Sarı Kaplan Hayaleti
1335	Kötü Kurbağa Generali
1401	Yokedici
1402	Maymun Savaşçı
1403	Bin Savaşçı
1501	Taş Golemi
1502	Kaya Golemi
1503	Dev Kaya Golemi
1601	Dev Savaşçı
1602	Dev Kasap
1603	Dev Çılgın
1901	Dokuz Kuyruk
1902	Elit Dokuz Kuyruk
1903	Elit Dokuz Kuyruk
1904	NoNAme
1905	NoNAme
1906	NoNAme
2001	Yavru Örümcek
2002	Zehirli Örümcek
2003	Kırmızı Zehirli Örümcek
2004	Pençe Örümceği
2005	Asker Örümcek
2031	Yavru Zehirli Örümcek
2032	Ölümcül Zehirli Örümcek
2033	Kırm. Ölüm. Zeh. Örümcek
2034	Zehirli Pençe Örümceği
2035	Zehirli Asker Örümcek
2036	Kibirli Zehirli Asker Örü
2051	Huysuz Zehirli Yavru Örüm
2052	Huysuz Ölümcül Zehirli Ör
2053	Huys.Kırm.Öl.Zeh.Örümcek
2054	Huys.Zeh. Pençe Örümceği
2055	Huysuz Zehirli Asker Örüm
2061	Küçük Zehirli Örümcek
2062	Öldürücü Zehirli Örümcek
2063	Kırm. Ölüm. Zeh. Örümcek
2064	Zehirli Pençe Örümceği
2065	Zehirli Asker Örümcek
2071	Vahşi Yav. Zeh. Örümcek
2072	Vahşi Ölüm.Zeh. Örümcek
2073	Vahşi Kırm. Zeh. Örümcek
2074	Vahşi Zeh.Pençe Örümceği
2075	Vahşi Zeh. Asker Örümcek
2076	Vahşi Güçlü Zeh. Örümcek
2091	Kraliçe Örümcek
2092	Örümcek Barones
2093	Elit Kraliçe Örümcek
2094	Örümcek Baronu
2095	Örümcek Yumurtası
2101	Çöl Tilkisi
2102	Çölün Uçan Gözü
2103	Kral Akrep
2104	Akrep Adam
2105	Akrep Okçu
2106	Yılan Kılıççı
2107	Yılan Okçu
2108	Çöl Haydutu
2131	Vahşi Akrep Adam
2132	Akrep Okçu
2133	Yılan Kılıççı
2134	Yılan Okçu
2135	Çöl Haydutu
2151	Güçlü Çöl Tilkisi
2152	Güçlü Derviş
2153	Güçlü Akrep Kral
2154	Güçlü Akrep Adam
2155	Güçlü Akrep Okçu
2156	Güçlü Yılan Kılıççı
2157	Güçlü Yılan Okçu
2158	Güçlü Çöl Haydutu
2191	Dev Çöl Kaplumbağası
2192	Elit Dev ÇölKaplumbağası
2201	Savaş Kaplanı Kölesi
2202	Alev Hayaleti
2203	Savaş Kaplanı
2204	Alev
2205	Alev Savaşçı
2206	Alev Kral
2207	Elit Alev Kral
2231	GüçlüSavaşKaplanı Kölesi
2232	Güçlü Alev Hayaleti
2233	Güçlü Savaş Kaplanı
2234	Güçlü Alev Hayaleti
2235	Güçlü Alev Savaşçısı
2291	Kırmızı Ejderha
2301	Hayalet Ağaç
2302	Hayalet Ağaç Kökü
2303	Orman Perisi
2304	Hayalet Söğüt
2305	Kötü Ağaç
2306	Dev Hayalet Ağaç
2307	Hayalet Ağaç Lordu
2311	Kırmızı Hayalet Ağaç
2312	Kırm.Hayalet Ağaç Kökü
2313	Kırmızı Orman Perisi
2314	Kırmızı Hayalet Söğüt
2315	Kırmızı Kötü Ağaç
2401	Setaou Savaşçısı
2402	Setaou Avcısı
2403	Setaou Mistik
2404	Setaou Lideri
2411	Setaou Askeri
2412	Setaou Okçusu
2413	Setaou Yargıcı
2414	Setaou Komutanı
2431	????
2432	????
2433	????
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Komutan
2492	General
2493	Beran-Setaou
2494	General
2495	General
2501	Cehennem Deniz Anası
2502	Cehennem Köpeği
2503	Zombi
2504	Cehennem Subayı
2505	Cehennem Bekçisi
2506	İkibaşlı Cehennem Okçusu
2507	Cehennem Kepçesi
2508	Cehennem Savaşçısı
2509	Cehennem Okçusu
2510	Cehennem Mızrakçısı
2511	Cehennem Papazı
2512	Cehennem Binbaşısı
2513	Cehennem Katliamcısı
2514	Cehennem Generali
2541	Kötü Cehennem Savaşçısı
2542	Kötü Cehennem Okçusu
2543	Kötü Cehennem Mızrakçısı
2544	Kötü Cehennem Papazı
2545	Kötü Cehennem Binbaşısı
2546	Kötü Cehennem Katliamcı
2547	Kötü Cehennem Generali
2591	Tartarus
2592	Cehennem Kırması
2593	Cehennem Kırması
2594	Cehennem Kırması
2595	Erebus
2596	Azrailin Tohumu
2597	Kharoon
2598	Azrail
3001	Gnoll Savaşçı
3002	Gnoll Okçu
3003	Gnoll Savunucu
3004	Gnoll Büyücü
3005	Gnoll General
3090	Lord Gnoll
3091	Baş Gnoll Nöbetçi
3101	Tekgözlü Kavgacı
3102	Kiklop Asker
3103	Kiklop Büyücü
3104	Kiklop Cellat
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Mantikor Savaşçı
3202	Mantikor Asker
3203	Mantikor Büyücü
3204	Mantikor Cellat
3205	General Kor
3290	Rakshasa
3291	Martyaxwar
3301	Lemur Savaşçı
3302	Lemur Asker
3303	Lemur Büyücü
3304	Lemur Cellat
3305	Lemur General
3390	Lemur Prensi
3391	Lemur Muhafız
3401	Triton Murana
3402	Köpekbalığı Askeri
3403	Triton Büyücü
3404	Triton Avcı
3405	Triton Usturacı
3490	General Kappa
3491	Triton
3501	Kızılhırsız Amazon
3502	Kızılhırsız Katil
3503	Kızılhırsız Büyücü
3504	Kızılhırsız Cellat
3505	Siyah General
3551	Zalim Kızılhırsız Amazon
3552	Zalim Kızılhırsız Katil
3553	Zalim Kızılhırsız Büyücü
3554	Zalim Kızılhırsız Cellat
3555	Beyaz General
3590	Kemiksurat
3591	Kızıl Reis
3595	Zalim Kemiksurat
3596	Zalim Kızıl Reis
3601	Yengeç Savaşçı
3602	Akrep Savaşçı
3603	Karides Asker
3604	Şeytani Keşiş
3605	Zırhlı Yengeç
3690	General Istakoz
3691	Kral Yengeç
3701	Devasa Dişlek
3702	Dev Kasap
3703	Dev Büyücü
3704	Yarım Dünya
3705	Kaptan Kanca
3790	Gargoyle
3791	Kral Voba
3801	Cellatork
3802	Okçu Öcü
3803	Kavgacı Öcü
3804	Öcü Büyücü
3805	General Öcü
3890	Kaptan Şrak
3891	Dev Öcü
3901	Daladam
3902	Eoten
3903	Ruhlu Ağaç
3904	Kaptan Kanca
3905	Se-Rang
3906	Jin-Hee
3907	Kızılhırsız Büyücü
3908	Zalim Kızılhırsız Cellat
3909	Beyaz General
3910	Kemiksurat
3911	Aku Beku
3912	Arboretum
3913	Sekomor
5001	Korsan Tanaka
5002	Hae-Tae
5003	Maymun
5004	Korsan Tanaka
5101	Zayıf Maymun Asker
5102	Zayıf Maymun Atıcı
5103	Zayıf Maymun Savaşçı
5104	Zayıf Maymun General
5111	Maymun Asker
5112	Maymun Atıcı
5113	Maymun Savaşçı
5114	Maymun General
5115	Taş Maymun
5116	Maymun Lider
5121	Güçlü Maymun Asker
5122	Güçlü Maymun Atıcı
5123	Güçlü Maymun Savaşçı
5124	Güçlü Maymun General
5125	Güçlü Taş Maymun
5126	Güçlü Altın Maymun
5127	Güçlü Maymun Lider
5131	Zeki Küçük Maymun Asker
5132	Zeki Küçük Maymun Atıcı
5133	Zeki Küçük MaymunSavaşçı
5134	Zeki Küçük Maymun General
5141	Zeki Maymun Asker
5142	Zeki Maymun Atıcı
5143	Zeki Maymun Savaşçı
5144	Zeki Maymun General
5145	Zeki Taş Maymun
5146	Zeki Maymun Lider
5151	Kötü Güçlü Maymun Asker
5152	Kötü Güçlü Maymun Atıcı
5153	Kötü Güçlü MaymunSavaşçı
5154	Kötü Güçlü Maymun General
5155	Kötü Güçlü Taş Maymun
5156	Kötü Güçlü Altın Maymun
5157	Kötü Güçlü Maymun Lider
5161	Kaya Maymun
5162	Yürüyen Maymun
5163	Maymun Lordu
6001	Ember Flame Ghost
6002	Ember Flame Tiger
6003	Ember Flame
6004	Ember Flame Warrior
6005	Ember Flame King
6006	Ember Flame Golem
6007	Ember Flame Beard
6008	Ember Flame General
6009	Ember Flame Chieftain
6051	Ignitor
6091	Razador
6101	Frost Crystal
6102	Frost Bug
6103	Frost Man
